#Source term or Neumann BC
#Total ST nodes  42
#Node index, x, y, z, name    value: 
82  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.500000000000e+01 3.359526523892e-04
78  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.600000000000e+01 6.719053047783e-04
74  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.700000000000e+01 6.719053047783e-04
70  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.800000000000e+01 6.719053047783e-04
66  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.900000000000e+01 6.719053047783e-04
62  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.000000000000e+01 6.719053047783e-04
58  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.100000000000e+01 6.719053047783e-04
54  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.200000000000e+01 6.719053047783e-04
50  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.300000000000e+01 6.719053047783e-04
46  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.400000000000e+01 6.719053047783e-04
42  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.500000000000e+01 6.719053047783e-04
38  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.600000000000e+01 6.719053047783e-04
34  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.700000000000e+01 6.719053047783e-04
30  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.800000000000e+01 6.719053047783e-04
26  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.900000000000e+01 6.719053047783e-04
22  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.000000000000e+02 6.719053047783e-04
18  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.010000000000e+02 6.719053047783e-04
14  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.020000000000e+02 6.719053047783e-04
10  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.030000000000e+02 6.719053047783e-04
2  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.040000000000e+02 6.719053047783e-04
6  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.050000000000e+02 3.359526523892e-04
1111  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.500000000000e+01 -3.359526523892e-04
1107  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.600000000000e+01 -6.719053047783e-04
1103  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.700000000000e+01 -6.719053047783e-04
1099  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.800000000000e+01 -6.719053047783e-04
1095  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.900000000000e+01 -6.719053047783e-04
1091  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.000000000000e+01 -6.719053047783e-04
1087  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.100000000000e+01 -6.719053047783e-04
1083  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.200000000000e+01 -6.719053047783e-04
1079  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.300000000000e+01 -6.719053047783e-04
1075  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.400000000000e+01 -6.719053047783e-04
1071  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.500000000000e+01 -6.719053047783e-04
1067  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.600000000000e+01 -6.719053047783e-04
1063  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.700000000000e+01 -6.719053047783e-04
1059  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.800000000000e+01 -6.719053047783e-04
1055  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.900000000000e+01 -6.719053047783e-04
1051  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.000000000000e+02 -6.719053047783e-04
1047  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.010000000000e+02 -6.719053047783e-04
1043  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.020000000000e+02 -6.719053047783e-04
1039  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.030000000000e+02 -6.719053047783e-04
1031  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.040000000000e+02 -6.719053047783e-04
1035  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.050000000000e+02 -3.359526523892e-04
#STOP
