time,heat_target,temperature_feed,temperature_return
2030-07-01 23:00:00,5177084,76.7,58.58
2030-07-02 23:00:00,5839584,77.38,59.33
2030-07-03 23:00:00,4409290,76.75,58.38
2030-07-04 23:00:00,4936374,77.26,58.68
2030-07-05 23:00:00,5377084,77.72,58.9
2030-07-06 23:00:00,5068750,76.84,58.43
2030-07-07 23:00:00,5200000,76.05,58.08
2030-07-08 23:00:00,5789584,75.99,59.33
2030-07-09 23:00:00,5829166,76.16,58.87
2030-07-10 23:00:00,5256250,76.07,58.5
2030-07-11 23:00:00,4536206,75.75,57.77
2030-07-12 23:00:00,4652084,75.94,58
2030-07-13 23:00:00,2107658,74.73,56.75
2030-07-14 23:00:00,3356306,73.4,56.51
2030-07-15 23:00:00,3352084,75.93,57.93
2030-07-16 23:00:00,2256250,75.66,57.83
2030-07-17 23:00:00,2387444,74.37,56.75
2030-07-18 23:00:00,2477478,74.85,56.45
2030-07-19 23:00:00,2423818,73.61,56.28
2030-07-20 23:00:00,955574,72.6,55.52
2030-07-21 23:00:00,845834,73.18,55.51
2030-07-22 23:00:00,1301464,73.58,55.69
2030-07-23 23:00:00,1698818,74.96,57.04
2030-07-24 23:00:00,3978604,74.36,57.49
2030-07-25 23:00:00,5960416,76.71,58.51
2030-07-26 23:00:00,5891666,77.65,60.18
2030-07-27 23:00:00,6000000,77.78,59.81
2030-07-28 23:00:00,5981250,79.09,60.25
2030-07-29 23:00:00,6000000,80.08,60.78
2030-07-30 23:00:00,5362500,78.79,60.38
2030-07-31 23:00:00,4006250,75.47,58.07
2030-08-01 23:00:00,3398592,76.54,57.85
2030-08-02 23:00:00,5306250,76,58.21
2030-08-03 23:00:00,6000000,76.97,59.33
2030-08-04 23:00:00,5722916,77.42,59.59
2030-08-05 23:00:00,5337500,76.72,58.92
2030-08-06 23:00:00,5670834,78.93,60.91
2030-08-07 23:00:00,5895834,76.02,59.03
2030-08-08 23:00:00,5537500,73.18,57.55
2030-08-09 23:00:00,3869764,72.53,56.96
2030-08-10 23:00:00,3378040,73.07,57.26
2030-08-11 23:00:00,3583164,73.3,57.1
2030-08-12 23:00:00,3904786,74.18,57.5
2030-08-13 23:00:00,5333334,73.4,56.45
2030-08-14 23:00:00,5341666,72.13,57.11
2030-08-15 23:00:00,5575000,72.65,57.22
2030-08-16 23:00:00,4878998,73.41,57.77
2030-08-17 23:00:00,5772916,71.98,57.28
2030-08-18 23:00:00,5099324,73.17,57.83
2030-08-19 23:00:00,6000000,72.92,58.23
2030-08-20 23:00:00,6000000,74.84,59.24
2030-08-21 23:00:00,6000000,76.37,59.92
2030-08-22 23:00:00,6000000,75.05,58.44
2030-08-23 23:00:00,6000000,74.89,59.48
2030-08-24 23:00:00,5733334,73.71,58.55
2030-08-25 23:00:00,4905688,72.32,57.08
2030-08-26 23:00:00,5002580,73.13,57.94
2030-08-27 23:00:00,4464584,74.55,57.65
2030-08-28 23:00:00,3216836,75.33,57.98
2030-08-29 23:00:00,5106250,75.08,57.91
2030-08-30 23:00:00,4921790,76.74,58.84
2030-08-31 23:00:00,5887500,76.28,59.18
2030-09-01 23:00:00,4017062,75.41,58.09
2030-09-02 23:00:00,2927366,75.06,57.91
2030-09-03 23:00:00,3773368,76.83,58.52
2030-09-04 23:00:00,4627084,77.44,58.81
2030-09-05 23:00:00,4876520,77,58.9
2030-09-06 23:00:00,3730688,76.13,58.49
2030-09-07 23:00:00,2367962,74.6,57.15
2030-09-08 23:00:00,2259572,74.83,56.92
2030-09-09 23:00:00,3777084,74.95,57.34
2030-09-10 23:00:00,4345834,73.69,57.73
2030-09-11 23:00:00,5797916,75.51,58.63
2030-09-12 23:00:00,4764584,75.49,58.38
2030-09-13 23:00:00,43356,73.76,57.08
2030-09-14 23:00:00,2984,72.27,55.45
2030-09-15 23:00:00,-1757996,70.89,54.42
2030-09-16 23:00:00,-1608896,72.23,54.54
2030-09-17 23:00:00,1258896,72.98,55.7
2030-09-18 23:00:00,449324,71.95,55.47
2030-09-19 23:00:00,-1929054,71.37,54.8
2030-09-20 23:00:00,-1374222,70.65,53.38
2030-09-21 23:00:00,-1201352,71.43,52.99
2030-09-22 23:00:00,-1188734,71.6,52.95
2030-09-23 23:00:00,-858366,70.72,52.86
