Datum,Gesamt,Temperatur VL,Temperatur RL
01.01.2012 01:00:00,150.7,93.2,54.6
01.01.2012 02:00:00,148.9,90.2,54.6
01.01.2012 03:00:00,141.1,92,53.8
01.01.2012 04:00:00,147.9,92.5,54.2
01.01.2012 05:00:00,152.8,91.2,53.1
01.01.2012 06:00:00,146.1,89.8,51.9
01.01.2012 07:00:00,140.9,89.5,53
01.01.2012 08:00:00,145.5,92,53.7
01.01.2012 09:00:00,153,92.6,54.6
01.01.2012 10:00:00,155.2,91.7,54.6
01.01.2012 11:00:00,161.8,91.2,54.6
01.01.2012 12:00:00,170.4,92.6,54.6
01.01.2012 13:00:00,172.8,91.1,54.6
01.01.2012 14:00:00,168.3,91.9,53.1
01.01.2012 15:00:00,169.6,86.3,53
01.01.2012 16:00:00,168.6,87.7,53
01.01.2012 17:00:00,165.4,90.2,53
01.01.2012 18:00:00,169.5,86.8,53
01.01.2012 19:00:00,168.8,84.3,53
01.01.2012 20:00:00,162.6,86.7,52.6
01.01.2012 21:00:00,154.1,89.1,51.5
01.01.2012 22:00:00,140,86.8,51.5
01.01.2012 23:00:00,123.3,86.1,51.5
02.01.2012 00:00:00,110.8,85.1,51.5
02.01.2012 01:00:00,113.8,83.6,50.1
02.01.2012 02:00:00,124.2,81.5,50
02.01.2012 03:00:00,130.8,84,49.2
02.01.2012 04:00:00,144.4,87.7,49.6
02.01.2012 05:00:00,165.8,87.7,50.3
02.01.2012 06:00:00,177,83.8,51
02.01.2012 07:00:00,179.7,82.7,51.5
02.01.2012 08:00:00,180.6,80.2,51.5
02.01.2012 09:00:00,183.8,82.5,51.5
02.01.2012 10:00:00,186.4,82.6,51.5
02.01.2012 11:00:00,185.3,83.1,51.5
02.01.2012 12:00:00,180.8,85.9,51.5
02.01.2012 13:00:00,180.8,83.4,51.5
02.01.2012 14:00:00,190.3,82.7,51.5
02.01.2012 15:00:00,191.3,84.4,51.5
02.01.2012 16:00:00,195.8,84.5,52.3
02.01.2012 17:00:00,195.2,84.2,53
02.01.2012 18:00:00,207.3,81.5,53
02.01.2012 19:00:00,198.5,82.7,53
02.01.2012 20:00:00,198.9,85,53
02.01.2012 21:00:00,201.5,84.9,53
02.01.2012 22:00:00,177.8,82.5,54
02.01.2012 23:00:00,165.2,83,54.5
03.01.2012 00:00:00,160.5,83.9,54.5
03.01.2012 01:00:00,165.7,87.9,54.5
03.01.2012 02:00:00,172.1,87.4,54
03.01.2012 03:00:00,176.8,87.1,53
03.01.2012 04:00:00,195.9,86.9,54.3
03.01.2012 05:00:00,223.7,86.8,54.5
03.01.2012 06:00:00,245.7,90.4,53.9
03.01.2012 07:00:00,239.1,109.5,54.5
03.01.2012 08:00:00,218.2,110.6,54.5
03.01.2012 09:00:00,217.3,110.4,55.2
03.01.2012 10:00:00,215.6,110.6,56
03.01.2012 11:00:00,215.3,109.6,55.6
03.01.2012 12:00:00,229.6,109.1,54.5
03.01.2012 13:00:00,235.2,107.9,54.5
03.01.2012 14:00:00,207.5,107.5,54.5
03.01.2012 15:00:00,193.6,107.5,54.5
03.01.2012 16:00:00,185.4,108.9,54.5
03.01.2012 17:00:00,181,107.6,54.5
03.01.2012 18:00:00,204.8,104.2,54.5
03.01.2012 19:00:00,210.7,101.1,54.5
03.01.2012 20:00:00,194.7,99.5,54.5
03.01.2012 21:00:00,180.3,101.8,55.2
03.01.2012 22:00:00,169.7,103.2,56
03.01.2012 23:00:00,152,103.3,56
04.01.2012 00:00:00,133.6,101.1,56
04.01.2012 01:00:00,149.2,87.3,54.9
04.01.2012 02:00:00,153.2,85.9,53.4
04.01.2012 03:00:00,149.1,89.1,52.9
04.01.2012 04:00:00,188,92.8,52.9
04.01.2012 05:00:00,204.4,101.1,54.3
04.01.2012 06:00:00,229.8,104.2,54.8
04.01.2012 07:00:00,235.1,104.8,54.9
04.01.2012 08:00:00,218.1,106.3,55.9
04.01.2012 09:00:00,216.4,107,55.9
04.01.2012 10:00:00,219.4,107.2,55.5
04.01.2012 11:00:00,207.6,106.8,55.2
04.01.2012 12:00:00,200.5,105.6,54.4
04.01.2012 13:00:00,208.4,105,54.4
04.01.2012 14:00:00,204.5,105.7,54.4
04.01.2012 15:00:00,222.7,105.5,54.4
04.01.2012 16:00:00,218,103.8,54.4
04.01.2012 17:00:00,226.4,104.7,54.4
04.01.2012 18:00:00,207.4,103.3,54.4
04.01.2012 19:00:00,197.5,104.9,54.4
04.01.2012 20:00:00,199.4,104.9,54.4
04.01.2012 21:00:00,190.5,105.7,55.4
04.01.2012 22:00:00,176.7,105,55.9
04.01.2012 23:00:00,156.6,103.1,55.9
05.01.2012 00:00:00,139.3,90.8,54.7
05.01.2012 01:00:00,127.2,85.3,54.4
05.01.2012 02:00:00,127.5,85.5,53.7
05.01.2012 03:00:00,138,84.7,54.4
05.01.2012 04:00:00,136.7,84,53.3
05.01.2012 05:00:00,149.2,84.5,52.5
05.01.2012 06:00:00,177.1,87.9,52.7
05.01.2012 07:00:00,210.4,96,53.7
05.01.2012 08:00:00,220.6,83.6,54.4
05.01.2012 09:00:00,232.9,86.6,53
05.01.2012 10:00:00,227.5,88,52.9
05.01.2012 11:00:00,238.4,85.6,53.1
05.01.2012 12:00:00,253.8,88.8,54.4
05.01.2012 13:00:00,212.1,92.3,54.4
05.01.2012 14:00:00,214.9,82.3,54.4
05.01.2012 15:00:00,204.6,85.6,54.4
05.01.2012 16:00:00,211.1,84.5,54.4
05.01.2012 17:00:00,220.1,83.7,54.4
05.01.2012 18:00:00,241.8,85,54.4
05.01.2012 19:00:00,233.5,85.4,54.4
05.01.2012 20:00:00,221.9,85,54.4
05.01.2012 21:00:00,225,86,54.4
05.01.2012 22:00:00,203.7,89.2,54.4
05.01.2012 23:00:00,188.2,93.2,54.4
06.01.2012 00:00:00,174.2,93,54.4
06.01.2012 01:00:00,190,90,54.4
06.01.2012 02:00:00,214.3,88.9,54.1
06.01.2012 03:00:00,211.5,94.5,52.9
06.01.2012 04:00:00,224.3,99,52.9
06.01.2012 05:00:00,250.2,97.6,53.5
06.01.2012 06:00:00,259.8,98.1,54.5
06.01.2012 07:00:00,265.2,93.4,55.9
06.01.2012 08:00:00,250.4,94.8,55.9
06.01.2012 09:00:00,265.1,94.6,56.4
06.01.2012 10:00:00,243.7,96.3,55.5
06.01.2012 11:00:00,225.9,100.4,54.4
06.01.2012 12:00:00,222.7,94.6,54.4
06.01.2012 13:00:00,215,93.8,54.4
06.01.2012 14:00:00,215,95.1,54.4
06.01.2012 15:00:00,233.1,91.7,54.4
06.01.2012 16:00:00,227.9,92.9,54.4
06.01.2012 17:00:00,229.2,88.6,54.4
06.01.2012 18:00:00,214.2,89.7,54.4
06.01.2012 19:00:00,210,91.3,54.4
06.01.2012 20:00:00,212.9,87.9,54.4
06.01.2012 21:00:00,196.6,91.6,54.4
06.01.2012 22:00:00,174.6,93.3,54.4
06.01.2012 23:00:00,154.3,91.5,54.4
07.01.2012 00:00:00,149.6,90.1,54.4
07.01.2012 01:00:00,151.6,90,52.4
07.01.2012 02:00:00,146.9,90.6,51.3
07.01.2012 03:00:00,154.6,88.4,49.3
07.01.2012 04:00:00,172.6,89.8,47.4
07.01.2012 05:00:00,189.7,87.1,50.6
07.01.2012 06:00:00,199.1,86.4,52.8
07.01.2012 07:00:00,197.2,86.9,52.8
07.01.2012 08:00:00,202.7,89.3,54
07.01.2012 09:00:00,202.8,91.2,54.3
07.01.2012 10:00:00,194.2,90.9,54.3
07.01.2012 11:00:00,200.7,88.7,54.3
07.01.2012 12:00:00,205.8,84.8,53.9
07.01.2012 13:00:00,188.6,85.9,52.8
07.01.2012 14:00:00,198.3,84.9,52.8
07.01.2012 15:00:00,203.6,81.2,52.8
07.01.2012 16:00:00,196.5,83.3,52.8
07.01.2012 17:00:00,198.5,82.4,52.8
07.01.2012 18:00:00,200.1,82.3,52.8
07.01.2012 19:00:00,208.7,81.6,52.8
07.01.2012 20:00:00,199.9,84.6,52.8
07.01.2012 21:00:00,191.2,84.9,53.1
07.01.2012 22:00:00,177.2,82.7,54.3
07.01.2012 23:00:00,152.8,86.2,54.3
08.01.2012 00:00:00,139.9,83.7,54.2
08.01.2012 01:00:00,145.2,83.4,52.6
08.01.2012 02:00:00,142,84.3,51.3
08.01.2012 03:00:00,154,89.6,51.3
08.01.2012 04:00:00,156.5,90.8,52.5
08.01.2012 05:00:00,179.2,84.2,49.9
08.01.2012 06:00:00,186.1,83.8,50.8
08.01.2012 07:00:00,187.7,84.4,53
08.01.2012 08:00:00,190.9,86.7,54.3
08.01.2012 09:00:00,198.1,87.7,54.3
08.01.2012 10:00:00,198.5,86.2,54.3
08.01.2012 11:00:00,197.2,86.2,54.3
08.01.2012 12:00:00,194,86.8,54.2
08.01.2012 13:00:00,199.2,86.8,52.7
08.01.2012 14:00:00,200,86,52.7
08.01.2012 15:00:00,201,85.7,52.7
08.01.2012 16:00:00,212.5,83.6,52.7
08.01.2012 17:00:00,211.3,82,52.7
08.01.2012 18:00:00,213.3,84.8,52.7
08.01.2012 19:00:00,213.6,84.4,52.7
08.01.2012 20:00:00,216.5,84.8,52.7
08.01.2012 21:00:00,210.7,85.9,53.2
08.01.2012 22:00:00,190.9,87,54.3
08.01.2012 23:00:00,169.7,89.1,54.3
09.01.2012 00:00:00,161.3,88.4,54.3
09.01.2012 01:00:00,164.9,89.4,53.5
09.01.2012 02:00:00,166.5,91.7,52.7
09.01.2012 03:00:00,172.3,90.9,53.5
09.01.2012 04:00:00,188.7,89.6,52.7
09.01.2012 05:00:00,219.8,88.4,52.7
09.01.2012 06:00:00,241.1,89.4,53.1
09.01.2012 07:00:00,242.6,89.4,53.7
09.01.2012 08:00:00,240.2,92.5,54.2
09.01.2012 09:00:00,239.3,92.9,55.1
09.01.2012 10:00:00,236.9,93.3,54.2
09.01.2012 11:00:00,246.6,92.9,54.2
09.01.2012 12:00:00,239.4,93.4,53
09.01.2012 13:00:00,235.3,96.5,52.7
09.01.2012 14:00:00,213.8,103.5,52
09.01.2012 15:00:00,200.4,107.5,52.4
09.01.2012 16:00:00,199,106.4,53
09.01.2012 17:00:00,198.6,106.2,52.6
09.01.2012 18:00:00,205.1,103.9,52.7
09.01.2012 19:00:00,198.1,102.9,52.7
09.01.2012 20:00:00,189.6,102.9,52.7
09.01.2012 21:00:00,181.8,102.9,52.7
09.01.2012 22:00:00,172.3,102.9,52.9
09.01.2012 23:00:00,157.2,102.1,54.2
10.01.2012 00:00:00,149.9,100.2,54.2
10.01.2012 01:00:00,154,99.9,54.2
10.01.2012 02:00:00,152,99.9,54.9
10.01.2012 03:00:00,157.6,101.4,54.7
10.01.2012 04:00:00,186.2,103.1,54.2
10.01.2012 05:00:00,218,104.4,54.2
10.01.2012 06:00:00,238,104.4,53
10.01.2012 07:00:00,241.1,104.9,54.5
10.01.2012 08:00:00,241.2,107.5,55.7
10.01.2012 09:00:00,228,107.5,55.7
10.01.2012 10:00:00,215.6,107.5,55.7
10.01.2012 11:00:00,200.5,107.5,55.2
10.01.2012 12:00:00,194.6,107.5,54.2
10.01.2012 13:00:00,191.7,107.2,54.2
10.01.2012 14:00:00,190.3,106.5,54.2
10.01.2012 15:00:00,191.5,100.2,54.2
10.01.2012 16:00:00,196.1,100.2,54.2
10.01.2012 17:00:00,207.2,98.6,53
10.01.2012 18:00:00,209.8,95.7,52.7
10.01.2012 19:00:00,202.3,94.4,52.7
10.01.2012 20:00:00,228.1,95.3,53
10.01.2012 21:00:00,198.7,96.2,54.9
10.01.2012 22:00:00,158.6,94,55.7
10.01.2012 23:00:00,130,101.1,55.7
11.01.2012 00:00:00,124.3,101.1,55.7
11.01.2012 01:00:00,135,99.6,55.3
11.01.2012 02:00:00,135.4,97.7,54.2
11.01.2012 03:00:00,142.4,95.7,54.2
11.01.2012 04:00:00,167.7,95.1,53.4
11.01.2012 05:00:00,196.4,95.1,52.7
11.01.2012 06:00:00,221.7,96.3,52.9
11.01.2012 07:00:00,220.3,97.6,54.2
11.01.2012 08:00:00,202,99.6,54.2
11.01.2012 09:00:00,198.3,100.4,54.2
11.01.2012 10:00:00,192.5,102,54.3
11.01.2012 11:00:00,185.2,98.1,54.7
11.01.2012 12:00:00,183.2,98,54.2
11.01.2012 13:00:00,184.4,98,54.2
11.01.2012 14:00:00,187.5,97.2,54.2
11.01.2012 15:00:00,189.4,96.5,54.2
11.01.2012 16:00:00,208.4,95.1,53.5
11.01.2012 17:00:00,216.4,96.3,52.7
11.01.2012 18:00:00,212.6,97.5,52.7
11.01.2012 19:00:00,202.1,99.6,52.7
11.01.2012 20:00:00,194.3,100.4,53.1
11.01.2012 21:00:00,179.2,102.5,54.2
11.01.2012 22:00:00,148,102.6,54.7
11.01.2012 23:00:00,124.9,102.6,55.7
12.01.2012 00:00:00,113.8,102.6,55
12.01.2012 01:00:00,124.1,99.3,54.1
12.01.2012 02:00:00,119.5,94.3,53.6
12.01.2012 03:00:00,114.4,94.9,54.2
12.01.2012 04:00:00,139.9,99.2,53.6
12.01.2012 05:00:00,167.8,99.5,54.2
12.01.2012 06:00:00,192.6,97.9,53.7
12.01.2012 07:00:00,202.7,92.9,52.7
12.01.2012 08:00:00,198,94,52.7
12.01.2012 09:00:00,196.4,94.9,52.7
12.01.2012 10:00:00,196.9,94.9,54
12.01.2012 11:00:00,211.7,94.9,54.2
12.01.2012 12:00:00,209.1,94.9,53.5
12.01.2012 13:00:00,191.1,97.9,52.7
12.01.2012 14:00:00,207,98.9,52.7
12.01.2012 15:00:00,225.2,97.9,52.7
12.01.2012 16:00:00,233.8,97.1,52.7
12.01.2012 17:00:00,237.6,101,52.7
12.01.2012 18:00:00,234.4,102.7,53.8
12.01.2012 19:00:00,226.7,105.4,54.2
12.01.2012 20:00:00,215.4,106,54.2
12.01.2012 21:00:00,199.8,107,55.3
12.01.2012 22:00:00,194.3,107,55.7
12.01.2012 23:00:00,172,107.3,55.7
