#Dirchilet BC
#Total BC nodes  21
#Node index, name, x, y, z,   value: 
1031  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.040000000000e+02 2.978152053530e+02
1035  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.050000000000e+02 2.978152053530e+02
1039  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.030000000000e+02 2.978152053530e+02
1043  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.020000000000e+02 2.978152053530e+02
1047  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.010000000000e+02 2.978152053530e+02
1051  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -1.000000000000e+02 2.978152053530e+02
1055  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.900000000000e+01 2.978152053530e+02
1059  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.800000000000e+01 2.978152053530e+02
1063  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.700000000000e+01 2.978152053530e+02
1067  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.600000000000e+01 2.978152053530e+02
1071  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.500000000000e+01 2.978152053530e+02
1075  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.400000000000e+01 2.978152053530e+02
1079  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.300000000000e+01 2.978152053530e+02
1083  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.200000000000e+01 2.978152053530e+02
1087  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.100000000000e+01 2.978152053530e+02
1091  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -9.000000000000e+01 2.978152053530e+02
1095  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -8.900000000000e+01 2.978152053530e+02
1099  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -8.800000000000e+01 2.978152053530e+02
1103  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -8.700000000000e+01 2.978152053530e+02
1107  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -8.600000000000e+01 2.978152053530e+02
1111  TEMPERATURE1 0.000000000000e+00 -3.000000000000e+02 -8.500000000000e+01 2.978152053530e+02
#STOP
