#Source term or Neumann BC
#Total ST nodes  42
#Node index, x, y, z, name    value: 
82  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.500000000000e+01 -6.535645347877e-04
78  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.600000000000e+01 -1.307129069575e-03
74  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.700000000000e+01 -1.307129069575e-03
70  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.800000000000e+01 -1.307129069575e-03
66  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -8.900000000000e+01 -1.307129069575e-03
62  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.000000000000e+01 -1.307129069575e-03
58  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.100000000000e+01 -1.307129069575e-03
54  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.200000000000e+01 -1.307129069575e-03
50  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.300000000000e+01 -1.307129069575e-03
46  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.400000000000e+01 -1.307129069575e-03
42  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.500000000000e+01 -1.307129069575e-03
38  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.600000000000e+01 -1.307129069575e-03
34  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.700000000000e+01 -1.307129069575e-03
30  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.800000000000e+01 -1.307129069575e-03
26  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -9.900000000000e+01 -1.307129069575e-03
22  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.000000000000e+02 -1.307129069575e-03
18  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.010000000000e+02 -1.307129069575e-03
14  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.020000000000e+02 -1.307129069575e-03
10  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.030000000000e+02 -1.307129069575e-03
2  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.040000000000e+02 -1.307129069575e-03
6  PRESSURE1 0.000000000000e+00 0.000000000000e+00 -1.050000000000e+02 -6.535645347877e-04
1111  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.500000000000e+01 6.535645347877e-04
1107  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.600000000000e+01 1.307129069575e-03
1103  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.700000000000e+01 1.307129069575e-03
1099  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.800000000000e+01 1.307129069575e-03
1095  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -8.900000000000e+01 1.307129069575e-03
1091  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.000000000000e+01 1.307129069575e-03
1087  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.100000000000e+01 1.307129069575e-03
1083  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.200000000000e+01 1.307129069575e-03
1079  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.300000000000e+01 1.307129069575e-03
1075  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.400000000000e+01 1.307129069575e-03
1071  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.500000000000e+01 1.307129069575e-03
1067  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.600000000000e+01 1.307129069575e-03
1063  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.700000000000e+01 1.307129069575e-03
1059  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.800000000000e+01 1.307129069575e-03
1055  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -9.900000000000e+01 1.307129069575e-03
1051  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.000000000000e+02 1.307129069575e-03
1047  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.010000000000e+02 1.307129069575e-03
1043  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.020000000000e+02 1.307129069575e-03
1039  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.030000000000e+02 1.307129069575e-03
1031  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.040000000000e+02 1.307129069575e-03
1035  PRESSURE1 0.000000000000e+00 -3.000000000000e+02 -1.050000000000e+02 6.535645347877e-04
#STOP
