time,heat_target,temperature_feed,temperature_return
2050-07-01 23:00:00,3000000,76.70,58.58
2050-07-02 23:00:00,6000000,77.38,59.33
2050-07-03 23:00:00,2525000,76.75,58.38
2050-07-04 23:00:00,6025000,77.26,58.68
2050-07-05 23:00:00,7525000,77.72,58.90
2050-07-06 23:00:00,4525000,76.84,58.43
2050-07-07 23:00:00,500000,76.05,58.08
2050-07-08 23:00:00,500000,75.99,59.33
2050-07-09 23:00:00,0,76.16,58.87
2050-07-10 23:00:00,500000,76.07,58.50
2050-07-11 23:00:00,500000,75.75,57.77
2050-07-12 23:00:00,0,75.94,58.00
2050-07-13 23:00:00,500000,74.73,56.75
2050-07-14 23:00:00,-152027,73.40,56.51
2050-07-15 23:00:00,0,75.93,57.93
2050-07-16 23:00:00,384459,75.66,57.83
2050-07-17 23:00:00,-820946,74.37,56.75
2050-07-18 23:00:00,-84459,74.85,56.45
2050-07-19 23:00:00,0,73.61,56.28
2050-07-20 23:00:00,500000,72.60,55.52
2050-07-21 23:00:00,0,73.18,55.51
2050-07-22 23:00:00,-552027,73.58,55.69
2050-07-23 23:00:00,-842905,74.96,57.04
2050-07-24 23:00:00,5650000,74.36,57.49
2050-07-25 23:00:00,11525000,76.71,58.51
2050-07-26 23:00:00,11050000,77.65,60.18
2050-07-27 23:00:00,11525000,77.78,59.81
2050-07-28 23:00:00,11050000,79.09,60.25
2050-07-29 23:00:00,10100000,80.08,60.78
2050-07-30 23:00:00,7878897,78.79,60.38
2050-07-31 23:00:00,4912500,75.47,58.07
2050-08-01 23:00:00,5829167,76.54,57.85
2050-08-02 23:00:00,10112500,76.00,58.21
2050-08-03 23:00:00,12000000,76.97,59.33
2050-08-04 23:00:00,10970833,77.42,59.59
2050-08-05 23:00:00,9812500,76.72,58.92
2050-08-06 23:00:00,9025000,78.93,60.91
2050-08-07 23:00:00,9600000,76.02,59.03
2050-08-08 23:00:00,10058333,73.18,57.55
2050-08-09 23:00:00,5806194,72.53,56.96
2050-08-10 23:00:00,6712500,73.07,57.26
2050-08-11 23:00:00,5861374,73.30,57.10
2050-08-12 23:00:00,7845833,74.18,57.50
2050-08-13 23:00:00,10058333,73.40,56.45
2050-08-14 23:00:00,10162500,72.13,57.11
2050-08-15 23:00:00,10620833,72.65,57.22
2050-08-16 23:00:00,10083333,73.41,57.77
2050-08-17 23:00:00,11545833,71.98,57.28
2050-08-18 23:00:00,10220833,73.17,57.83
2050-08-19 23:00:00,4875000,72.92,58.23
2050-08-20 23:00:00,12000000,74.84,59.24
2050-08-21 23:00:00,6300000,76.37,59.92
2050-08-22 23:00:00,12000000,75.05,58.44
2050-08-23 23:00:00,11525000,74.89,59.48
2050-08-24 23:00:00,10100000,73.71,58.55
2050-08-25 23:00:00,9004167,72.32,57.08
2050-08-26 23:00:00,9006419,73.13,57.94
2050-08-27 23:00:00,7075000,74.55,57.65
2050-08-28 23:00:00,4140766,75.33,57.98
2050-08-29 23:00:00,8850000,75.08,57.91
2050-08-30 23:00:00,6725000,76.74,58.84
2050-08-31 23:00:00,9150000,76.28,59.18
2050-09-01 23:00:00,5058333,75.41,58.09
2050-09-02 23:00:00,4554167,75.06,57.91
2050-09-03 23:00:00,6770833,76.83,58.52
2050-09-04 23:00:00,8279167,77.44,58.81
2050-09-05 23:00:00,9400000,77.00,58.90
2050-09-06 23:00:00,3625000,76.13,58.49
2050-09-07 23:00:00,-354392,74.60,57.15
