timeindex,heat-storage
2030-01-01 00:00:00,1500.84
2030-01-01 01:00:00,1501.68
2030-01-01 02:00:00,1502.52
2030-01-01 03:00:00,1503.36
2030-01-01 04:00:00,1504.2
2030-01-01 05:00:00,1505.04
2030-01-01 06:00:00,1505.88
2030-01-01 07:00:00,1506.72
2030-01-01 08:00:00,1507.56
2030-01-01 09:00:00,1508.4
2030-01-01 10:00:00,1509.24
2030-01-01 11:00:00,1510.08
2030-01-01 12:00:00,1510.92
2030-01-01 13:00:00,1511.76
2030-01-01 14:00:00,1512.6
2030-01-01 15:00:00,1513.44
2030-01-01 16:00:00,1514.28
2030-01-01 17:00:00,1515.12
2030-01-01 18:00:00,1515.96
2030-01-01 19:00:00,1516.8
2030-01-01 20:00:00,1517.64
2030-01-01 21:00:00,1518.48
2030-01-01 22:00:00,1519.32
2030-01-01 23:00:00,1520.16
2030-01-02 00:00:00,1521.0
2030-01-02 01:00:00,1521.84
2030-01-02 02:00:00,1522.68
2030-01-02 03:00:00,1523.52
2030-01-02 04:00:00,1524.36
2030-01-02 05:00:00,1524.36
2030-01-02 06:00:00,1524.36
2030-01-02 07:00:00,1524.36
2030-01-02 08:00:00,1524.36
2030-01-02 09:00:00,1524.36
2030-01-02 10:00:00,1524.36
2030-01-02 11:00:00,1524.36
2030-01-02 12:00:00,1524.36
2030-01-02 13:00:00,1524.36
2030-01-02 14:00:00,1524.36
2030-01-02 15:00:00,1524.36
2030-01-02 16:00:00,1524.36
2030-01-02 17:00:00,1524.36
2030-01-02 18:00:00,1524.36
2030-01-02 19:00:00,1524.36
2030-01-02 20:00:00,1524.36
2030-01-02 21:00:00,1524.36
2030-01-02 22:00:00,1524.36
2030-01-02 23:00:00,1524.36
2030-01-03 00:00:00,1524.36
2030-01-03 01:00:00,1524.36
2030-01-03 02:00:00,1525.2
2030-01-03 03:00:00,1526.04
2030-01-03 04:00:00,1524.8495
2030-01-03 05:00:00,1523.659
2030-01-03 06:00:00,1522.4686
2030-01-03 07:00:00,1521.2781
2030-01-03 08:00:00,1520.0876
2030-01-03 09:00:00,1518.8971
2030-01-03 10:00:00,1517.7067
2030-01-03 11:00:00,1516.5162
2030-01-03 12:00:00,1515.3257
2030-01-03 13:00:00,1515.2794
2030-01-03 14:00:00,1516.1194
2030-01-03 15:00:00,1516.9594
2030-01-03 16:00:00,1517.7994
2030-01-03 17:00:00,1518.6394
2030-01-03 18:00:00,1517.4489
2030-01-03 19:00:00,1518.2889
2030-01-03 20:00:00,1519.1289
2030-01-03 21:00:00,1519.9689
2030-01-03 22:00:00,1520.8089
2030-01-03 23:00:00,1521.6489
2030-01-04 00:00:00,1522.4889
2030-01-04 01:00:00,1523.3289
2030-01-04 02:00:00,1524.1689
2030-01-04 03:00:00,1525.0089
