time,heat_target,temperature_feed,temperature_return
2030-01-01 00:00:00,1e6,63.9,46.0
2030-01-01 01:00:00,-1000000.0000001732,62.4,46.0
2030-01-01 02:00:00,-999999.9999999026,62.9,45.6
2030-01-01 03:00:00,-999999.9999999026,63.4,45.8
2030-01-01 04:00:00,-999999.9999999404,60.6,46.0
2030-01-01 05:00:00,999999.9999999026,60.8,44.6
2030-01-01 06:00:00,1000000.0000001732,61.2,45.2
2030-01-01 07:00:00,999999.9999999026,62.8,45.6
2030-01-01 08:00:00,999999.9999999026,63.6,46.0
2030-01-01 09:00:00,1000000.0000001732,63.2,46.0
2030-01-01 10:00:00,999999.9999999026,62.9,46.0
2030-01-01 11:00:00,999999.9999999026,63.6,46.0
2030-01-01 12:00:00,1000000.0000001732,62.8,46.0
2030-01-01 13:00:00,999999.9999999026,62.5,45.2
2030-01-01 14:00:00,999999.9999999026,59.6,45.2
2030-01-01 15:00:00,1000000.0000001732,60.4,45.2
2030-01-01 16:00:00,999999.9999999026,61.6,45.2
2030-01-01 17:00:00,999999.9999999026,59.9,45.2
2030-01-01 18:00:00,1000000.0000001732,58.6,45.2
2030-01-01 19:00:00,999999.9999999026,59.6,45.0
2030-01-01 20:00:00,1000000.0000001732,60.3,44.4
2030-01-01 21:00:00,999999.9999999026,59.2,44.4
2030-01-01 22:00:00,999999.9999999026,58.8,44.4
2030-01-01 23:00:00,1000000.0000001732,58.3,44.4
2030-01-02 00:00:00,999999.9999999026,56.8,43.8
2030-01-02 01:00:00,999999.9999999026,55.8,43.7
2030-01-02 02:00:00,1000000.0000001732,56.6,43.3
2030-01-02 03:00:00,999999.9999999026,58.6,43.5
2030-01-02 04:00:00,999999.9999999026,59.0,43.8
2030-01-02 05:00:00,0.0,57.4,44.2
2030-01-02 06:00:00,0.0,57.1,44.4
2030-01-02 07:00:00,0.0,55.8,44.4
2030-01-02 08:00:00,0.0,57.0,44.4
2030-01-02 09:00:00,0.0,57.0,44.4
2030-01-02 10:00:00,0.0,57.3,44.4
2030-01-02 11:00:00,0.0,58.7,44.4
2030-01-02 12:00:00,0.0,57.4,44.4
2030-01-02 13:00:00,0.0,57.1,44.4
2030-01-02 14:00:00,0.0,58.0,44.4
2030-01-02 15:00:00,0.0,58.4,44.8
2030-01-02 16:00:00,0.0,58.6,45.2
2030-01-02 17:00:00,0.0,57.2,45.2
2030-01-02 18:00:00,0.0,57.8,45.2
2030-01-02 19:00:00,0.0,59.0,45.2
2030-01-02 20:00:00,0.0,59.0,45.2
2030-01-02 21:00:00,0.0,58.2,45.7
2030-01-02 22:00:00,0.0,58.8,46.0
2030-01-02 23:00:00,0.0,59.2,46.0
2030-01-03 00:00:00,0.0,61.2,46.0
2030-01-03 01:00:00,0.0,60.7,45.7
2030-01-03 02:00:00,1000000.0000001732,60.0,45.2
2030-01-03 03:00:00,999999.9999999026,60.6,45.8
2030-01-03 04:00:00,-999999.9999999404,60.6,46.0
2030-01-03 05:00:00,-1000000.0000001315,62.2,45.6
2030-01-03 06:00:00,-999916.0016799279,72.0,46.0
2030-01-03 07:00:00,-999999.9999999404,72.6,46.0
2030-01-03 08:00:00,-999999.9999999404,72.8,46.3
2030-01-03 09:00:00,-1000000.0000001315,73.3,46.7
2030-01-03 10:00:00,-999916.0016799279,72.6,46.5
2030-01-03 11:00:00,-999999.9999999404,71.8,46.0
2030-01-03 12:00:00,-999999.9999999404,71.2,46.0
2030-01-03 13:00:00,-38891.22217572548,71.0,46.0
2030-01-03 14:00:00,1000000.0000001732,71.0,46.0
2030-01-03 15:00:00,999999.9999999026,71.7,46.0
2030-01-03 16:00:00,1000000.0000001732,71.0,46.0
2030-01-03 17:00:00,999999.9999999026,69.4,46.0
2030-01-03 18:00:00,-999999.9999999404,67.8,46.0
2030-01-03 19:00:00,999999.9999999026,67.0,46.0
2030-01-03 20:00:00,999999.9999999026,68.5,46.3
2030-01-03 21:00:00,1000000.0000001732,69.6,46.7
2030-01-03 22:00:00,999999.9999999026,69.6,46.7
2030-01-03 23:00:00,999999.9999999026,68.6,46.7
2030-01-04 00:00:00,1000000.0000001732,61.1,46.2
2030-01-04 01:00:00,999999.9999999026,59.6,45.4
2030-01-04 02:00:00,999999.9999999026,61.0,45.2
2030-01-04 03:00:00,1000000.0000001732,62.8,45.2
2030-01-04 04:00:00,999999.9999999026,67.7,45.8
2030-01-04 05:00:00,-999916.0016799279,69.5,46.1
2030-01-04 06:00:00,-1000000.0000001315,69.8,46.2
2030-01-04 07:00:00,-999999.9999999404,71.1,46.6
2030-01-04 08:00:00,-999999.9999997496,71.4,46.6
2030-01-04 09:00:00,-1000000.0000001315,71.4,46.4
2030-01-04 10:00:00,-147165.05669897667,71.0,46.3
2030-01-04 11:00:00,1000000.0000001732,70.0,45.9
2030-01-04 12:00:00,-888618.2276354624,69.7,45.9
2030-01-04 13:00:00,999999.9999999026,70.0,45.9
2030-01-04 14:00:00,-999916.0016801191,70.0,45.9
2030-01-04 15:00:00,-999999.9999997496,69.1,45.9
2030-01-04 16:00:00,-999999.9999999404,69.6,45.9
2030-01-04 17:00:00,123214.28571421426,68.8,45.9
2030-01-04 18:00:00,999999.9999999026,69.6,45.9
2030-01-04 19:00:00,999999.9999999026,69.6,45.9
2030-01-04 20:00:00,1000000.0000001732,70.6,46.4
2030-01-04 21:00:00,999999.9999999026,70.4,46.6
2030-01-04 22:00:00,999999.9999999026,69.5,46.6
2030-01-04 23:00:00,1000000.0000001732,62.8,46.0
2030-01-05 00:00:00,999999.9999999026,59.8,45.9
2030-01-05 01:00:00,999999.9999999026,59.6,45.6
2030-01-05 02:00:00,1000000.0000001732,59.6,45.9
2030-01-05 03:00:00,999999.9999999026,58.6,45.3
2030-01-05 04:00:00,1000000.0000001732,58.5,45.0
2030-01-05 05:00:00,999999.9999999026,60.3,45.0
2030-01-05 06:00:00,-999999.9999999404,64.8,45.6
2030-01-05 07:00:00,-999916.0016801191,59.0,45.9
2030-01-05 08:00:00,-999999.9999999404,59.8,45.2
2030-01-05 09:00:00,-999999.9999999404,60.4,45.2
2030-01-05 10:00:00,-1000000.0000001315,59.4,45.2
2030-01-05 11:00:00,-999916.0016799279,61.6,45.9
2030-01-05 12:00:00,-999999.9999999404,63.4,45.9
2030-01-05 13:00:00,-999999.9999999404,58.4,45.9
2030-01-05 14:00:00,999999.9999999026,60.0,45.9
2030-01-05 15:00:00,-999999.9999999404,59.4,45.9
2030-01-05 16:00:00,-999916.0016801191,59.0,45.9
2030-01-05 17:00:00,-999999.9999999404,59.7,45.9
2030-01-05 18:00:00,-999999.9999999404,59.9,45.9
2030-01-05 19:00:00,-999999.9999999404,59.7,45.9
2030-01-05 20:00:00,-999916.0016801191,60.2,45.9
2030-01-05 21:00:00,1000000.0000001732,61.8,45.9
2030-01-05 22:00:00,999999.9999999026,63.8,45.9
2030-01-05 23:00:00,999999.9999999026,63.7,45.9
2030-01-06 00:00:00,1000000.0000001732,62.2,45.9
2030-01-06 01:00:00,-1000000.0000001315,61.5,45.8
2030-01-06 02:00:00,-999999.9999999404,63.7,45.2
2030-01-06 03:00:00,-999999.9999999404,66.0,45.2
2030-01-06 04:00:00,-999916.0016799279,65.6,45.4
2030-01-06 05:00:00,-1000000.0000001315,66.3,46.0
2030-01-06 06:00:00,-999999.9999999404,64.6,46.6
2030-01-06 07:00:00,-999999.9999999404,65.4,46.6
2030-01-06 08:00:00,-1000000.0000001315,65.5,46.9
2030-01-06 09:00:00,-999916.0016799279,65.9,46.4
2030-01-06 10:00:00,-999999.9999999404,67.4,45.9
2030-01-06 11:00:00,-999999.9999999404,64.5,45.9
2030-01-06 12:00:00,-1000000.0000001315,64.1,45.9
2030-01-06 13:00:00,-999916.0016799279,64.8,45.9
2030-01-06 14:00:00,0.0,63.0,45.9
2030-01-06 15:00:00,0.0,63.6,45.9
2030-01-06 16:00:00,0.0,61.5,45.9
2030-01-06 17:00:00,0.0,62.0,45.9
2030-01-06 18:00:00,0.0,62.8,45.9
2030-01-06 19:00:00,0.0,61.2,45.9
2030-01-06 20:00:00,0.0,63.0,45.9
2030-01-06 21:00:00,0.0,63.8,45.9
2030-01-06 22:00:00,0.0,63.0,45.9
2030-01-06 23:00:00,0.0,62.2,45.9
2030-01-07 00:00:00,999999.9999999026,61.2,44.9
2030-01-07 01:00:00,1000000.0000001732,60.9,44.3
2030-01-07 02:00:00,999999.9999999026,58.8,43.3
2030-01-07 03:00:00,999999.9999999026,58.6,42.4
2030-01-07 04:00:00,1000000.0000001732,58.8,44.0
2030-01-07 05:00:00,999999.9999999026,59.6,45.1
2030-01-07 06:00:00,1000000.0000001732,59.8,45.1
2030-01-07 07:00:00,999999.9999999026,61.6,45.7
2030-01-07 08:00:00,999999.9999999026,62.8,45.8
2030-01-07 09:00:00,1000000.0000001732,62.6,45.8
2030-01-07 10:00:00,999999.9999999026,61.5,45.8
2030-01-07 11:00:00,999999.9999999026,59.4,45.6
2030-01-07 12:00:00,1000000.0000001732,59.4,45.1
2030-01-07 13:00:00,999999.9999999026,58.8,45.1
2030-01-07 14:00:00,999999.9999999026,57.0,45.1
2030-01-07 15:00:00,1000000.0000001732,58.0,45.1
2030-01-07 16:00:00,999999.9999999026,57.6,45.1
2030-01-07 17:00:00,1000000.0000001732,57.6,45.1
2030-01-07 18:00:00,-1000000.0000001315,57.2,45.1
2030-01-07 19:00:00,1000000.0000001732,58.7,45.1
2030-01-07 20:00:00,999999.9999999026,59.0,45.2
2030-01-07 21:00:00,999999.9999999026,58.5,45.8
2030-01-07 22:00:00,1000000.0000001732,60.2,45.8
2030-01-07 23:00:00,999999.9999999026,59.0,45.8
2030-01-08 00:00:00,999999.9999999026,58.0,45.0
2030-01-08 01:00:00,1000000.0000001732,57.8,44.3
2030-01-08 02:00:00,999999.9999999026,60.4,44.3
2030-01-08 03:00:00,999999.9999999026,61.6,45.0
2030-01-08 04:00:00,1000000.0000001732,57.0,43.6
2030-01-08 05:00:00,999999.9999999026,57.3,44.1
2030-01-08 06:00:00,1000000.0000001732,58.7,45.2
2030-01-08 07:00:00,999999.9999999026,60.5,45.8
2030-01-08 08:00:00,0.0,61.0,45.8
2030-01-08 09:00:00,0.0,60.2,45.8
2030-01-08 10:00:00,0.0,60.2,45.8
2030-01-08 11:00:00,0.0,60.5,45.8
2030-01-08 12:00:00,0.0,59.8,45.0
2030-01-08 13:00:00,0.0,59.4,45.0
2030-01-08 14:00:00,0.0,59.2,45.0
2030-01-08 15:00:00,0.0,58.2,45.0
2030-01-08 16:00:00,0.0,57.4,45.0
2030-01-08 17:00:00,-999999.9999999404,58.8,45.0
2030-01-08 18:00:00,-1000000.0000001315,58.6,45.0
2030-01-08 19:00:00,-999916.0016799279,58.8,45.0
2030-01-08 20:00:00,-999999.9999999404,59.6,45.3
2030-01-08 21:00:00,-1000000.0000001315,60.6,45.8
2030-01-08 22:00:00,-999999.9999999404,61.7,45.8
2030-01-08 23:00:00,-999916.0016799279,61.4,45.8
2030-01-09 00:00:00,-999999.9999999404,61.4,45.4
2030-01-09 01:00:00,0.0,62.2,45.0
2030-01-09 02:00:00,-1000000.0000001315,62.2,45.4
2030-01-09 03:00:00,-999999.9999999404,61.2,45.0
2030-01-09 04:00:00,-999916.0016799279,60.6,45.0
2030-01-09 05:00:00,-1000000.0000001315,61.2,45.2
2030-01-09 06:00:00,-999999.9999999404,61.6,45.6
2030-01-09 07:00:00,-999999.9999999404,63.4,45.8
2030-01-09 08:00:00,-999999.9999999404,64.0,46.2
2030-01-09 09:00:00,-999916.0016801191,63.8,45.8
2030-01-09 10:00:00,-999999.9999999404,63.6,45.8
2030-01-09 11:00:00,-999999.9999999404,63.2,45.2
2030-01-09 12:00:00,-1000000.0000001315,64.6,45.0
2030-01-09 13:00:00,-999916.0016799279,67.8,44.7
2030-01-09 14:00:00,-999999.9999999404,70.0,44.9
2030-01-09 15:00:00,-999999.9999999404,69.7,45.2
2030-01-09 16:00:00,-1000000.0000001315,69.4,45.0
2030-01-09 17:00:00,-999916.0016799279,68.3,45.0
2030-01-09 18:00:00,-999999.9999999404,67.8,45.0
2030-01-09 19:00:00,0.0,67.8,45.0
2030-01-09 20:00:00,0.0,67.8,45.0
2030-01-09 21:00:00,0.0,67.9,45.2
2030-01-09 22:00:00,0.0,68.2,45.8
2030-01-09 23:00:00,0.0,67.2,45.8
2030-01-10 00:00:00,0.0,67.1,45.8
2030-01-10 01:00:00,0.0,67.4,46.2
2030-01-10 02:00:00,0.0,68.1,46.0
2030-01-10 03:00:00,0.0,68.6,45.8
2030-01-10 04:00:00,0.0,69.3,45.8
2030-01-10 05:00:00,-1000000.0000001315,68.7,45.2
2030-01-10 06:00:00,-999999.9999999404,69.7,46.0
2030-01-10 07:00:00,-999916.0016799279,71.6,46.6
2030-01-10 08:00:00,-999999.9999999404,71.6,46.6
2030-01-10 09:00:00,-1000000.0000001315,71.6,46.6
2030-01-10 10:00:00,-999999.9999999404,71.4,46.3
2030-01-10 11:00:00,-999916.0016799279,70.8,45.8
2030-01-10 12:00:00,-1000000.0000001315,70.7,45.8
2030-01-10 13:00:00,-999999.9999999404,70.4,45.8
2030-01-10 14:00:00,-999999.9999999404,67.2,45.8
2030-01-10 15:00:00,-999999.9999999404,67.2,45.8
2030-01-10 16:00:00,-999916.0016801191,65.8,45.2
2030-01-10 17:00:00,-999999.9999999404,64.2,45.0
2030-01-10 18:00:00,-999999.9999999404,63.6,45.0
2030-01-10 19:00:00,-1000000.0000001315,64.2,45.2
2030-01-10 20:00:00,-999916.0016799279,65.6,46.2
2030-01-10 21:00:00,-999999.9999999404,64.8,46.6
2030-01-10 22:00:00,0.0,68.4,46.6
