id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x7fd59da95f10;system return;out1;condenser;in2;[];[];nan;False;False;6.827695496113068;kg / s;False;6.827695496113068;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;189.30032512759854;kJ / kg;False;189.30032512759854;False;nan;nan;nan;False;45.00000000000239;C;False;45.00000000000239;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00689244719330253;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7fd59da959d0;condenser;out2;system feed;in1;[];[];nan;False;False;6.827695496113068;kg / s;False;6.827695496113068;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;335.76262716923014;kJ / kg;False;335.76262716923014;False;nan;nan;nan;False;80.00000000000153;C;False;80.00000000000153;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.007023016175924998;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fd59da957d0;coolant in;out1;condenser;in1;[];[];nan;False;False;0.796970054195964;kg / s;False;0.796970054195964;False;nan;nan;nan;False;46.10020232585168;bar;False;46.10020232585168;False;nan;nan;nan;False;1994.970074375243;kJ / kg;False;1994.970074375243;False;nan;nan;nan;False;194.17877243054414;C;False;194.17877243054414;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.03574159951796065;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7fd59da95e10;condenser;out1;valve;in1;[];[];nan;False;False;0.796970054195964;kg / s;False;0.796970054195964;False;nan;nan;nan;False;45.63920030259317;bar;False;45.63920030259317;False;nan;nan;nan;False;740.2177850826846;kJ / kg;False;740.2177850826846;False;nan;nan;nan;False;79.52491410838707;C;False;79.52491410838707;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0015691855855996348;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59da95e50;valve;out1;drum;in1;[];[];nan;False;False;0.796970054195964;kg / s;False;0.796970054195964;False;nan;nan;nan;False;6.150093434214855;bar;False;6.150093434214855;False;nan;nan;nan;False;740.2177850826846;kJ / kg;False;740.2177850826846;False;nan;nan;nan;False;9.998241802488792;C;False;9.998241802488792;False;nan;nan;nan;False;0.28599732441409553;-;False;nan;False;nan;nan;nan;False;0.04773667883552153;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59da95cd0;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;3.187880216783856;kg / s;False;3.187880216783856;False;nan;nan;nan;False;6.150093434214855;bar;False;6.150093434214855;False;nan;nan;nan;False;389.71252178044034;kJ / kg;False;389.71252178044034;False;nan;nan;nan;False;9.998241802488792;C;False;9.998241802488792;False;nan;nan;nan;False;1.786611718134047e-15;-;False;nan;False;nan;nan;nan;False;0.0051035344315100515;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59db06050;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;3.187880216783856;kg / s;False;3.187880216783856;False;0x7fd59da95e50;4.0;0.0;True;6.212215590116017;bar;False;6.212215590116017;False;nan;nan;nan;False;389.7242220436618;kJ / kg;False;389.7242220436618;False;nan;nan;nan;False;9.999999999998465;C;False;9.999999999998465;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.005103514957633876;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59da8f8d0;evaporator;out2;drum;in2;[];[];nan;False;False;3.187880216783856;kg / s;False;3.187880216783856;False;nan;nan;nan;False;6.150093434214855;bar;False;6.150093434214855;False;nan;nan;nan;False;608.4747919497864;kJ / kg;False;608.4747919497864;False;nan;nan;nan;False;9.998241802488792;C;False;9.998241802488792;False;nan;nan;nan;False;0.17850066889647798;-;False;nan;False;nan;nan;nan;False;0.1210945919364939;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59db06ed0;drum;out2;superheater;in2;[];[];nan;False;False;0.7969700541959639;kg / s;False;0.7969700541959639;False;nan;nan;nan;False;6.150093434214855;bar;False;6.150093434214855;False;nan;nan;nan;False;1615.2668657600689;kJ / kg;False;1615.2668657600689;False;nan;nan;nan;False;9.998241802488792;C;False;9.998241802488792;False;nan;nan;nan;False;1.0000000000000002;-;False;nan;False;nan;nan;nan;False;0.16372773634050536;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59daccf10;storage return;out1;superheater;in1;[];[];nan;False;False;16.927820609891207;kg / s;False;16.927820609891207;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;105.28924239409065;kJ / kg;False;105.28924239409065;False;nan;nan;nan;False;25.000000000020577;C;False;25.000000000020577;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.016974884947473883;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7fd59fb89a50;superheater;out1;evaporator;in1;[];[];nan;False;False;16.927820609891207;kg / s;False;16.927820609891207;False;nan;nan;nan;False;4.95;bar;False;4.95;False;nan;nan;nan;False;104.6444527359971;kJ / kg;False;104.6444527359971;False;nan;nan;nan;False;24.846858979450076;C;False;24.846858979450076;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.016974255260051512;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fd59da8f790;evaporator;out1;storage feed;in1;['T'];[];nan;False;False;16.927820609891207;kg / s;False;16.927820609891207;False;nan;nan;nan;False;4.9005;bar;False;4.9005;False;nan;nan;nan;False;63.448918456383154;kJ / kg;False;63.448918456383154;False;nan;nan;nan;False;14.99999999995913;C;False;14.99999999995913;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.016939948845735;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7fd59da95590;superheater;out2;compressor 1;in1;[];[];nan;False;False;0.7969700541959639;kg / s;False;0.7969700541959639;False;nan;nan;nan;False;6.088592499872707;bar;False;6.088592499872707;False;nan;nan;nan;False;1628.9623410239822;kJ / kg;False;1628.9623410239822;False;nan;nan;nan;False;14.70748355524097;C;False;14.70748355524097;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.16946667713364547;m3 / s;False;nan;False;nan;nan;nan;False;5.0;C;False;5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59dacca90;compressor 1;out1;intercooler;in1;[];[];nan;False;False;0.7969700541959639;kg / s;False;0.7969700541959639;False;nan;nan;nan;False;12.177184999745414;bar;False;12.177184999745414;False;nan;nan;nan;False;1734.383875181162;kJ / kg;False;1734.383875181162;False;nan;nan;nan;False;67.15728292002922;C;False;67.15728292002922;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.09995421009378276;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59da9aa10;intercooler;out1;compressor 2;in1;[];[];nan;False;False;0.7969700541959639;kg / s;False;0.7969700541959639;False;nan;nan;nan;False;12.177184999745414;bar;False;12.177184999745414;False;nan;nan;nan;False;1734.383875181162;kJ / kg;False;1734.383875181162;False;nan;nan;nan;False;67.15728292002922;C;False;67.15728292002922;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.09995421009378276;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7fd59da9a850;compressor 2;out1;coolant out;in1;[];[];nan;False;False;0.7969700541959639;kg / s;False;0.7969700541959639;False;nan;nan;nan;False;46.10020232585168;bar;False;46.10020232585168;False;0x7fd59da957d0;1.0;0.0;True;1994.970074375243;kJ / kg;False;1994.970074375243;False;0x7fd59da957d0;1.0;0.0;True;194.17877243054414;C;False;194.17877243054414;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.035741599517960645;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
