#Dirchilet BC  (from D:\JohannesNordbeck\ANGUS2_Modelle\Schnittstelle02-timestep-1d\IF_HEAT_CaseStudies\ATES\geostorage/.\input\testCase_HEAT_TRANSPORT_BC_ST.asc.bc file) 
#Total BC nodes  21
#Node index, name, x, y, z,   value: 
2  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.040000000000e+02 3.352600000000e+02
6  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.050000000000e+02 3.352600000000e+02
10  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.030000000000e+02 3.352600000000e+02
14  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.020000000000e+02 3.352600000000e+02
18  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.010000000000e+02 3.352600000000e+02
22  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -1.000000000000e+02 3.352600000000e+02
26  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.900000000000e+01 3.352600000000e+02
30  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.800000000000e+01 3.352600000000e+02
34  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.700000000000e+01 3.352600000000e+02
38  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.600000000000e+01 3.352600000000e+02
42  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.500000000000e+01 3.352600000000e+02
46  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.400000000000e+01 3.352600000000e+02
50  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.300000000000e+01 3.352600000000e+02
54  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.200000000000e+01 3.352600000000e+02
58  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.100000000000e+01 3.352600000000e+02
62  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -9.000000000000e+01 3.352600000000e+02
66  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -8.900000000000e+01 3.352600000000e+02
70  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -8.800000000000e+01 3.352600000000e+02
74  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -8.700000000000e+01 3.352600000000e+02
78  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -8.600000000000e+01 3.352600000000e+02
82  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 -8.500000000000e+01 3.352600000000e+02
#STOP
