time,heat_target,temperature_feed,temperature_return
2030-05-01 00:00:00,1000000,66.68,50.93
2030-05-02 00:00:00,1000000,66.42,51.26
2030-05-03 00:00:00,1000000,65.40,50.41
2030-05-04 00:00:00,750000,65.08,50.32
2030-05-05 00:00:00,708333,66.69,50.73
2030-05-06 00:00:00,1000000,67.44,50.99
2030-05-07 00:00:00,1000000,67.03,51.04
2030-05-08 00:00:00,1000000,66.22,50.76
2030-05-09 00:00:00,791667,64.60,49.73
2030-05-10 00:00:00,750000,64.89,49.55
2030-05-11 00:00:00,916667,64.93,49.82
2030-05-12 00:00:00,750000,63.73,50.13
2030-05-13 00:00:00,666667,65.39,50.77
2030-05-14 00:00:00,875000,65.57,50.73
2030-05-15 00:00:00,1000000,63.85,49.71
2030-05-16 00:00:00,916667,62.33,48.44
2030-05-17 00:00:00,875000,60.87,47.68
2030-05-18 00:00:00,958333,62.14,47.70
2030-05-19 00:00:00,625000,63.00,48.61
2030-05-20 00:00:00,833333,62.00,48.44
2030-05-21 00:00:00,875000,61.48,47.99
2030-05-22 00:00:00,265789,60.53,46.94
2030-05-23 00:00:00,329925,61.40,46.62
2030-05-24 00:00:00,723576,61.65,46.60
2030-05-25 00:00:00,416667,60.68,46.48
2030-05-26 00:00:00,291667,61.63,46.40
2030-05-27 00:00:00,583333,60.83,46.10
2030-05-28 00:00:00,375000,58.55,45.39
2030-05-29 00:00:00,83337,59.43,45.30
2030-05-30 00:00:00,291667,59.52,45.02
2030-05-31 00:00:00,283601,59.48,45.08
2030-06-01 00:00:00,375000,60.23,45.63
2030-06-02 00:00:00,583333,60.30,45.90
2030-06-03 00:00:00,205461,59.60,45.78
2030-06-04 00:00:00,371235,59.13,45.75
2030-06-05 00:00:00,583333,59.58,45.74
2030-06-06 00:00:00,0,61.09,45.83
2030-06-07 00:00:00,541667,63.70,45.88
2030-06-08 00:00:00,250000,62.84,46.15
2030-06-09 00:00:00,375000,64.64,46.46
2030-06-10 00:00:00,-249993,63.36,46.19
2030-06-11 00:00:00,3,64.16,46.19
2030-06-12 00:00:00,-624990,66.63,46.42
