time,Q_target,Q_actual,Q_sto,P_plant,ti_plant,T_ff_sys,T_rf_sys,T_ff_sto,T_rf_sto,v_sto,pp_err
2030-06-08 00:00:00,250000.0,250000.00000000003,250000.00000000003,0,0,62.84,46.15,59.839999999997985,13.0,0.0012982062980721291,False
2030-06-09 00:00:00,375000.0,375000.0000000001,375000.0000000001,0,0,64.64,46.46,61.64000000001482,13.0,0.0018769653408843754,False
2030-06-10 00:00:00,-249993.0,0,0,0,0,63.36,46.19,0,25.000000000020577,0,True
2030-06-11 00:00:00,3.0,0,0,0,0,64.16,46.19,13.0,13.0,0,False
2030-06-12 00:00:00,-624990.0,0,0,0,0,66.63,46.42,0,25.000000000020577,0,True
2030-06-13 00:00:00,-541653.0,0,0,0,0,64.1,46.06,0,25.000000000020577,0,True
2030-06-14 00:00:00,0.0,0,0,0,0,65.64,46.33,0,0,0,False
2030-06-15 00:00:00,0.0,0,0,0,0,64.63,46.28,0,0,0,False
2030-06-16 00:00:00,166667.0,166667.0,166667.0,0,0,64.63,46.13,61.630000000009034,13.0,0.0008343755429981971,False
2030-06-17 00:00:00,-374993.0,0,0,0,0,67.05,46.3,0,25.000000000020577,0,True
2030-06-18 00:00:00,83333.0,83333.00000000001,83333.00000000001,0,0,65.0,46.05,62.00000000000381,13.0,0.0004141138325052373,False
2030-06-19 00:00:00,-41667.0,0,0,0,0,63.89,45.91,25.000000000020577,25.000000000020577,0,False
2030-06-20 00:00:00,-104641.0,0,0,0,0,59.25,45.38,0,25.000000000020577,0,True
2030-06-21 00:00:00,613749.0,613748.9999999999,613748.9999999999,0,0,59.89,45.95,56.89000000000391,13.0,0.003396319712258396,False
2030-06-22 00:00:00,833333.0,833333.0000000001,833333.0000000001,0,0,62.87,47.03,59.86999999999648,13.0,0.004324654887097201,False
2030-06-23 00:00:00,296827.0,296827.0,296827.0,0,0,61.28,45.88,58.27999999999844,13.0,0.001593228847029924,False
2030-06-24 00:00:00,-560041.0,0,0,0,0,59.84,45.22,0,25.000000000020577,0,True
2030-06-25 00:00:00,-666649.0,0,0,0,0,62.72,45.78,0,25.000000000020577,0,True
2030-06-26 00:00:00,-666649.0,0,0,0,0,64.8,46.14,0,25.000000000020577,0,True
2030-06-27 00:00:00,-416660.0,0,0,0,0,62.47,45.91,0,25.000000000020577,0,True
