id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x000001F92EDA2D88;system return;out1;condenser;in2;[];[];nan;False;False;system return:out1_condenser:in2;6.827695496122764;kg / s;False;6.827695496122764;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;189.300325127813;kJ / kg;False;189.300325127813;False;nan;nan;nan;False;45.000000000051784;C;False;45.000000000051784;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.006892447193312521;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x000001F92EDDDBC8;condenser;out2;system feed;in1;[];[];nan;False;False;condenser:out2_system feed:in1;6.827695496122764;kg / s;False;6.827695496122764;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;335.7626271692366;kJ / kg;False;335.7626271692366;False;nan;nan;nan;False;80.00000000000153;C;False;80.00000000000153;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.00702301617593496;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x000001F92EDDD248;cycle closer;out1;condenser;in1;[];[];nan;False;False;cycle closer:out1_condenser:in1;0.7923064644996086;kg / s;False;0.7923064644996086;False;nan;nan;nan;False;46.10020232585405;bar;False;46.10020232585405;False;nan;nan;nan;False;2002.3556632982488;kJ / kg;False;2002.3556632982488;False;nan;nan;nan;False;196.7403523559442;C;False;196.7403523559442;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.035806647462922926;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x000001F92EDDD488;condenser;out1;valve;in1;[];[];nan;False;False;condenser:out1_valve:in1;0.7923064644996086;kg / s;False;0.7923064644996086;False;nan;nan;nan;False;45.639200302595505;bar;False;45.639200302595505;False;nan;nan;nan;False;740.2177850826988;kJ / kg;False;740.2177850826988;False;nan;nan;nan;False;79.52491410838962;C;False;79.52491410838962;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0015600032610064726;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDDDFC8;valve;out1;drum;in1;[];[];nan;False;False;valve:out1_drum:in1;0.7923064644996086;kg / s;False;0.7923064644996086;False;nan;nan;nan;False;6.150093434211398;bar;False;6.150093434211398;False;nan;nan;nan;False;740.2177850826988;kJ / kg;False;740.2177850826988;False;nan;nan;nan;False;9.998241802472421;C;False;9.998241802472421;False;nan;nan;nan;False;0.2859973244141549;-;False;nan;False;nan;nan;nan;False;0.04745734050611265;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDDDA08;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;drum:out1_evaporator reciculation pump:in1;3.1692258579984345;kg / s;False;3.1692258579984345;False;nan;nan;nan;False;6.150093434211398;bar;False;6.150093434211398;False;nan;nan;nan;False;389.7125217803627;kJ / kg;False;389.7125217803627;False;nan;nan;nan;False;9.998241802472478;C;False;9.998241802472478;False;nan;nan;nan;False;4.3575895564242884e-16;-;False;nan;False;nan;nan;nan;False;0.005073670335029484;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDF2988;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;evaporator reciculation pump:out1_evaporator:in2;3.1692258579984345;kg / s;False;3.1692258579984345;False;0x000001F92EDDDFC8;4.0;0.0;True;6.212215590112524;bar;False;6.212215590112524;False;nan;nan;nan;False;389.72422204358605;kJ / kg;False;389.72422204358605;False;nan;nan;nan;False;9.999999999981924;C;False;9.999999999981924;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.005073650975108489;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDF2748;evaporator;out2;drum;in2;[];[];nan;False;False;evaporator:out2_drum:in2;3.1692258579984345;kg / s;False;3.1692258579984345;False;nan;nan;nan;False;6.150093434211398;bar;False;6.150093434211398;False;nan;nan;nan;False;608.4747919497014;kJ / kg;False;608.4747919497014;False;nan;nan;nan;False;9.998241802472478;C;False;9.998241802472478;False;nan;nan;nan;False;0.17850066889646163;-;False;nan;False;nan;nan;nan;False;0.12038598878606831;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDF2F88;drum;out2;superheater;in2;[];[];nan;False;False;drum:out2_superheater:in2;0.7923064644996086;kg / s;False;0.7923064644996086;False;nan;nan;nan;False;6.150093434211398;bar;False;6.150093434211398;False;nan;nan;nan;False;1615.2668657600536;kJ / kg;False;1615.2668657600536;False;nan;nan;nan;False;9.998241802472478;C;False;9.998241802472478;False;nan;nan;nan;False;1.0;-;False;nan;False;nan;nan;nan;False;0.1627696589571515;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x000001F92EDF2D08;storage return;out1;superheater;in1;[];[];nan;False;False;storage return:out1_superheater:in1;16.828764930923178;kg / s;False;16.828764930923178;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;105.28924239417668;kJ / kg;False;105.28924239417668;False;nan;nan;nan;False;25.000000000020577;C;False;25.000000000020577;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.016875553864481873;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
