id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;NH3;NH30;NH3_set;balance
0x000001793654ED88;system return;out1;condenser;in2;[];[];nan;False;False;system return:out1_condenser:in2;11.953728983005478;kg / s;False;11.953728983005478;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;210.19336370513835;kJ / kg;False;210.19336370513835;False;nan;nan;nan;False;50.00000000001535;C;False;50.00000000001535;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.012093690816544603;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x00000179385A3E08;condenser;out2;system feed;in1;[];[];nan;False;False;condenser:out2_system feed:in1;11.953728983005478;kg / s;False;11.953728983005478;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;293.84926735007554;kJ / kg;False;293.84926735007554;False;nan;nan;nan;False;70.00000000000051;C;False;70.00000000000051;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.012220669250071935;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x00000179385A3548;cycle closer;out1;condenser;in1;[];[];nan;False;False;cycle closer:out1_condenser:in1;0.7690738625473835;kg / s;False;0.7690738625473835;False;nan;nan;nan;False;37.10453215209593;bar;False;37.10453215209593;False;nan;nan;nan;False;1985.7554229040477;kJ / kg;False;1985.7554229040477;False;nan;nan;nan;False;184.99300231420915;C;False;184.99300231420915;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.04261287812299673;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x00000179385B2648;condenser;out1;valve;in1;[];[];nan;False;False;condenser:out1_valve:in1;0.7690738625473835;kg / s;False;0.7690738625473835;False;nan;nan;nan;False;36.73348683057497;bar;False;36.73348683057497;False;nan;nan;nan;False;685.4901965085934;kJ / kg;False;685.4901965085934;False;nan;nan;nan;False;69.5501104211541;C;False;69.5501104211541;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0014566068449788103;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385B2E48;valve;out1;drum;in1;[];[];nan;False;False;valve:out1_drum:in1;0.7690738625473835;kg / s;False;0.7690738625473835;False;nan;nan;nan;False;5.157228528226375;bar;False;5.157228528226375;False;nan;nan;nan;False;685.4901965085934;kJ / kg;False;685.4901965085934;False;nan;nan;nan;False;4.998586866830124;C;False;4.998586866830124;False;nan;nan;nan;False;0.25649988967896303;-;False;nan;False;nan;nan;nan;False;0.04885123923830833;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385BA688;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;drum:out1_evaporator reciculation pump:in1;3.076295450189534;kg / s;False;3.076295450189534;False;nan;nan;nan;False;5.157228528226374;bar;False;5.157228528226374;False;nan;nan;nan;False;366.3552177420304;kJ / kg;False;366.3552177420304;False;nan;nan;nan;False;4.998586866830067;C;False;4.998586866830067;False;nan;nan;nan;False;-1.1160021161041089e-15;-;False;nan;False;nan;nan;nan;False;0.004870123214810845;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385C36C8;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;evaporator reciculation pump:out1_evaporator:in2;3.076295450189534;kg / s;False;3.076295450189534;False;0x00000179385B2E48;4.0;0.0;True;5.209321745683205;bar;False;5.209321745683205;False;nan;nan;nan;False;366.3649200121187;kJ / kg;False;366.3649200121187;False;nan;nan;nan;False;4.999999999982265;C;False;4.999999999982265;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.004870108629993387;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385C3EC8;evaporator;out2;drum;in2;[];[];nan;False;False;evaporator:out2_drum:in2;3.076295450189534;kg / s;False;3.076295450189534;False;nan;nan;nan;False;5.157228528226375;bar;False;5.157228528226375;False;nan;nan;nan;False;597.6193444217902;kJ / kg;False;597.6193444217902;False;nan;nan;nan;False;4.998586866830067;C;False;4.998586866830067;False;nan;nan;nan;False;0.18587502758025826;-;False;nan;False;nan;nan;nan;False;0.14294296028486084;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385C8708;drum;out2;superheater;in2;[];[];nan;False;False;drum:out2_superheater:in2;0.7690738625473836;kg / s;False;0.7690738625473836;False;nan;nan;nan;False;5.157228528226375;bar;False;5.157228528226375;False;nan;nan;nan;False;1610.5467032276317;kJ / kg;False;1610.5467032276317;False;nan;nan;nan;False;4.998586866830067;C;False;4.998586866830067;False;nan;nan;nan;False;1.0;-;False;nan;False;nan;nan;nan;False;0.18692407630835825;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x00000179385C8F08;storage return;out1;superheater;in1;[];[];nan;False;False;storage return:out1_superheater:in1;17.228998048903115;kg / s;False;17.228998048903115;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;84.38240998741564;kJ / kg;False;84.38240998741564;False;nan;nan;nan;False;20.000000000021373;C;False;20.000000000021373;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.017256786611231933;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
