#Dirchilet BC  (from /home/witte/nextcloud/Documents/Hochschule/Dissertation/Kraftwerkssimulation/IF_HEAT_CASESTUDY/BHES/geostorage/./input/testCase_HEAT_TRANSPORT_BC_ST.asc.bc file) 
#Total BC nodes  41
#Node index, name, x, y, z,   value: 
0  TEMPERATURE1 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
1  TEMPERATURE1 5.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
2  TEMPERATURE1 5.000000000000e+00 5.000000000000e+00 0.000000000000e+00 1.000000000000e+01
3  TEMPERATURE1 0.000000000000e+00 5.000000000000e+00 0.000000000000e+00 1.000000000000e+01
4  TEMPERATURE1 2.244234909000e+00 2.244234909000e+00 0.000000000000e+00 1.000000000000e+01
5  TEMPERATURE1 2.755765091000e+00 2.244234909000e+00 0.000000000000e+00 1.000000000000e+01
6  TEMPERATURE1 2.755765091000e+00 2.755765091000e+00 0.000000000000e+00 1.000000000000e+01
7  TEMPERATURE1 2.244234909000e+00 2.755765091000e+00 0.000000000000e+00 1.000000000000e+01
8  TEMPERATURE1 7.141316008320e-01 7.141316008320e-01 0.000000000000e+00 1.000000000000e+01
9  TEMPERATURE1 1.314642334730e+00 1.314642334730e+00 0.000000000000e+00 1.000000000000e+01
10  TEMPERATURE1 1.819609643610e+00 1.819609643610e+00 0.000000000000e+00 1.000000000000e+01
11  TEMPERATURE1 1.819609643610e+00 3.180390356390e+00 0.000000000000e+00 1.000000000000e+01
12  TEMPERATURE1 1.314642334740e+00 3.685357665260e+00 0.000000000000e+00 1.000000000000e+01
13  TEMPERATURE1 7.141316008360e-01 4.285868399160e+00 0.000000000000e+00 1.000000000000e+01
14  TEMPERATURE1 0.000000000000e+00 3.750000000000e+00 0.000000000000e+00 1.000000000000e+01
15  TEMPERATURE1 0.000000000000e+00 2.500000000000e+00 0.000000000000e+00 1.000000000000e+01
16  TEMPERATURE1 0.000000000000e+00 1.250000000000e+00 0.000000000000e+00 1.000000000000e+01
17  TEMPERATURE1 4.285868399170e+00 7.141316008320e-01 0.000000000000e+00 1.000000000000e+01
18  TEMPERATURE1 3.685357665270e+00 1.314642334730e+00 0.000000000000e+00 1.000000000000e+01
19  TEMPERATURE1 3.180390356390e+00 1.819609643610e+00 0.000000000000e+00 1.000000000000e+01
20  TEMPERATURE1 1.250000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
21  TEMPERATURE1 2.500000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
22  TEMPERATURE1 3.750000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+01
23  TEMPERATURE1 4.285868399170e+00 4.285868399170e+00 0.000000000000e+00 1.000000000000e+01
24  TEMPERATURE1 3.685357665270e+00 3.685357665270e+00 0.000000000000e+00 1.000000000000e+01
25  TEMPERATURE1 3.180390356390e+00 3.180390356390e+00 0.000000000000e+00 1.000000000000e+01
26  TEMPERATURE1 5.000000000000e+00 1.250000000000e+00 0.000000000000e+00 1.000000000000e+01
27  TEMPERATURE1 5.000000000000e+00 2.500000000000e+00 0.000000000000e+00 1.000000000000e+01
28  TEMPERATURE1 5.000000000000e+00 3.750000000000e+00 0.000000000000e+00 1.000000000000e+01
29  TEMPERATURE1 3.750000000000e+00 5.000000000000e+00 0.000000000000e+00 1.000000000000e+01
30  TEMPERATURE1 2.500000000000e+00 5.000000000000e+00 0.000000000000e+00 1.000000000000e+01
31  TEMPERATURE1 1.250000000000e+00 5.000000000000e+00 0.000000000000e+00 1.000000000000e+01
32  TEMPERATURE1 9.560744151940e-01 2.677827143250e+00 0.000000000000e+00 1.000000000000e+01
33  TEMPERATURE1 6.659597640160e-01 1.438876720610e+00 0.000000000000e+00 1.000000000000e+01
34  TEMPERATURE1 2.309219871940e+00 9.522638293400e-01 0.000000000000e+00 1.000000000000e+01
35  TEMPERATURE1 3.458157207860e+00 6.354750772000e-01 0.000000000000e+00 1.000000000000e+01
36  TEMPERATURE1 4.043925584810e+00 2.322172856750e+00 0.000000000000e+00 1.000000000000e+01
37  TEMPERATURE1 4.334040235980e+00 3.561123279390e+00 0.000000000000e+00 1.000000000000e+01
38  TEMPERATURE1 2.318530875810e+00 4.048536535600e+00 0.000000000000e+00 1.000000000000e+01
39  TEMPERATURE1 3.552396921680e+00 4.370927842320e+00 0.000000000000e+00 1.000000000000e+01
40  TEMPERATURE1 2.500000000000e+00 2.500000000000e+00 0.000000000000e+00 1.000000000000e+01
#Source term or Neumann BC  (from /home/witte/nextcloud/Documents/Hochschule/Dissertation/Kraftwerkssimulation/IF_HEAT_CASESTUDY/BHES/geostorage/./input/testCase_HEAT_TRANSPORT_BC_ST.asc.st file) 
#Total ST nodes  1
#Node index, x, y, z, name    value: 
122  TEMPERATURE1 2.500000000000e+00 2.500000000000e+00 -1.000000000000e+00 1.000000000000e+00
#STOP
