id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;H2O;H2O0;H2O_set;balance
0x7f5d3dc29b00;system return;out1;condenser;in2;[];[];nan;False;False;system return:out1_condenser:in2;3.413931020714554;kg / s;False;3.413931020714554;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;189.25454101159488;kJ / kg;False;189.25454101159488;False;nan;nan;nan;False;45.0;C;False;45.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.003446275983400708;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7f5d3dc29f98;condenser;out2;system feed;in1;[];[];nan;False;False;condenser:out2_system feed:in1;3.413931020714554;kg / s;False;3.413931020714554;False;nan;nan;nan;False;9.975002092355815;bar;False;9.975002092355815;False;nan;nan;nan;False;335.7132705425001;kJ / kg;False;335.7132705425001;False;nan;nan;nan;False;80.0;C;False;80.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.00351154075852845;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f5d3dc29b70;cycle closer;out1;condenser;in1;[];[];nan;False;False;cycle closer:out1_condenser:in1;0.37392891881988094;kg / s;False;0.37392891881988094;False;nan;nan;nan;False;43.15945294685588;bar;False;43.15945294685588;False;nan;nan;nan;False;2060.185767955101;kJ / kg;False;2060.185767955101;False;nan;nan;nan;False;215.31561239687272;C;False;215.31561239687272;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.01914096275968246;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f5d3dc29cc0;condenser;out1;valve;in1;[];[];nan;False;False;condenser:out1_valve:in1;0.37392891881988094;kg / s;False;0.37392891881988094;False;nan;nan;nan;False;42.727858417387324;bar;False;42.727858417387324;False;nan;nan;nan;False;723.0332375276625;kJ / kg;False;723.0332375276625;False;nan;nan;nan;False;76.43840696470443;C;False;76.43840696470443;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0007270706644664459;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc29a58;valve;out1;drum;in1;[];[];nan;False;False;valve:out1_drum:in1;0.37392891881988094;kg / s;False;0.37392891881988094;False;nan;nan;nan;False;6.8676695395528595;bar;False;6.8676695395528595;False;nan;nan;nan;False;723.0332375276625;kJ / kg;False;723.0332375276625;False;nan;nan;nan;False;13.234978082924897;C;False;13.234978082924897;False;nan;nan;nan;False;0.2622189752501157;-;False;nan;False;nan;nan;nan;False;0.01856582353045888;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc29d30;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;drum:out1_evaporator reciculation pump:in1;1.4957156752795238;kg / s;False;1.4957156752795238;False;nan;nan;nan;False;6.8676695395528595;bar;False;6.8676695395528595;False;nan;nan;nan;False;404.91952716119243;kJ / kg;False;404.91952716119243;False;nan;nan;nan;False;13.234978082924897;C;False;13.234978082924897;False;nan;nan;nan;False;3.521685836997808e-15;-;False;nan;False;nan;nan;nan;False;0.0024123407305780787;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc35be0;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;evaporator reciculation pump:out1_evaporator:in2;1.4957156752795238;kg / s;False;1.4957156752795238;False;0x7f5d3dc29a58;4.0;0.0;True;6.937039938942283;bar;False;6.937039938942283;False;nan;nan;nan;False;404.93730342707534;kJ / kg;False;404.93730342707534;False;nan;nan;nan;False;13.237979676976352;C;False;13.237979676976352;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.002412335544166011;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc35940;evaporator;out2;drum;in2;[];[];nan;False;False;evaporator:out2_drum:in2;1.4957156752795238;kg / s;False;1.4957156752795238;False;nan;nan;nan;False;6.8676695395528595;bar;False;6.8676695395528595;False;nan;nan;nan;False;628.6812314746392;kJ / kg;False;628.6812314746392;False;nan;nan;nan;False;13.234978082924897;C;False;13.234978082924897;False;nan;nan;nan;False;0.18444525618747476;-;False;nan;False;nan;nan;nan;False;0.05295241889587426;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc35fd0;drum;out2;superheater;in2;[];[];nan;False;False;drum:out2_superheater:in2;0.373928918819881;kg / s;False;0.373928918819881;False;nan;nan;nan;False;6.8676695395528595;bar;False;6.8676695395528595;False;nan;nan;nan;False;1618.0800547814495;kJ / kg;False;1618.0800547814495;False;nan;nan;nan;False;13.234978082924897;C;False;13.234978082924897;False;nan;nan;nan;False;1.0000000000000009;-;False;nan;False;nan;nan;nan;False;0.06910590169575509;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f5d3dc35978;storage return;out1;superheater;in1;[];[];nan;False;False;storage return:out1_superheater:in1;8.263289887434237;kg / s;False;8.263289887434237;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;105.20522419881875;kJ / kg;False;105.20522419881875;False;nan;nan;nan;False;25.0;C;False;25.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.008286263897334228;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
