id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;NH3;NH30;NH3_set;H2O;H2O0;H2O_set;balance
0x7f719d4dbac8;system return;out1;condenser;in2;[];[];nan;False;False;system return:out1_condenser:in2;6.828141855171275;kg / s;False;6.828141855171275;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;189.25454101159488;kJ / kg;False;189.25454101159488;False;nan;nan;nan;False;45.0;C;False;45.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.006892834431612101;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7f719d4dbf60;condenser;out2;system feed;in1;[];[];nan;False;False;condenser:out2_system feed:in1;6.828141855171275;kg / s;False;6.828141855171275;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;335.7072687390736;kJ / kg;False;335.7072687390736;False;nan;nan;nan;False;80.00000000000006;C;False;80.00000000000006;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.007023393504759991;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f719d4dbb70;cycle closer;out1;condenser;in1;[];[];nan;False;False;cycle closer:out1_condenser:in1;0.7923064644996103;kg / s;False;0.7923064644996103;False;nan;nan;nan;False;46.10020232585405;bar;False;46.10020232585405;False;nan;nan;nan;False;2002.355663298247;kJ / kg;False;2002.355663298247;False;nan;nan;nan;False;196.7403523559425;C;False;196.7403523559425;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.035806647462922815;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f719d4dbeb8;condenser;out1;valve;in1;[];[];nan;False;False;condenser:out1_valve:in1;0.7923064644996103;kg / s;False;0.7923064644996103;False;nan;nan;nan;False;45.639200302595505;bar;False;45.639200302595505;False;nan;nan;nan;False;740.2177850826995;kJ / kg;False;740.2177850826995;False;nan;nan;nan;False;79.52491410838957;C;False;79.52491410838957;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.0015600032610064752;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4dbb00;valve;out1;drum;in1;[];[];nan;False;False;valve:out1_drum:in1;0.7923064644996103;kg / s;False;0.7923064644996103;False;nan;nan;nan;False;6.150093434211321;bar;False;6.150093434211321;False;nan;nan;nan;False;740.2177850826995;kJ / kg;False;740.2177850826995;False;nan;nan;nan;False;9.99824180247225;C;False;9.99824180247225;False;nan;nan;nan;False;0.2859973244141553;-;False;nan;False;nan;nan;nan;False;0.047457340506113416;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4dbc88;drum;out1;evaporator reciculation pump;in1;[];[];nan;False;False;drum:out1_evaporator reciculation pump:in1;3.169225857998441;kg / s;False;3.169225857998441;False;nan;nan;nan;False;6.150093434211321;bar;False;6.150093434211321;False;nan;nan;nan;False;389.7125217803609;kJ / kg;False;389.7125217803609;False;nan;nan;nan;False;9.99824180247225;C;False;9.99824180247225;False;nan;nan;nan;False;-1.1765491802345576e-15;-;False;nan;False;nan;nan;nan;False;0.0050736703350284474;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4e8ba8;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;False;False;evaporator reciculation pump:out1_evaporator:in2;3.169225857998441;kg / s;False;3.169225857998441;False;0x7f719d4dbb00;4.0;0.0;True;6.212215590112446;bar;False;6.212215590112446;False;nan;nan;nan;False;389.72422204358475;kJ / kg;False;389.72422204358475;False;nan;nan;nan;False;9.999999999982094;C;False;9.999999999982094;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.005073650975108498;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4e8908;evaporator;out2;drum;in2;[];[];nan;False;False;evaporator:out2_drum:in2;3.169225857998441;kg / s;False;3.169225857998441;False;nan;nan;nan;False;6.150093434211321;bar;False;6.150093434211321;False;nan;nan;nan;False;608.4747919496994;kJ / kg;False;608.4747919496994;False;nan;nan;nan;False;9.99824180247225;C;False;9.99824180247225;False;nan;nan;nan;False;0.1785006688964599;-;False;nan;False;nan;nan;nan;False;0.1203859887860689;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4e8fd0;drum;out2;superheater;in2;[];[];nan;False;False;drum:out2_superheater:in2;0.7923064644996101;kg / s;False;0.7923064644996101;False;nan;nan;nan;False;6.150093434211321;bar;False;6.150093434211321;False;nan;nan;nan;False;1615.2668657600539;kJ / kg;False;1615.2668657600539;False;nan;nan;nan;False;9.99824180247225;C;False;9.99824180247225;False;nan;nan;nan;False;0.9999999999999998;-;False;nan;False;nan;nan;nan;False;0.16276965895715387;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f719d4e8da0;storage return;out1;superheater;in1;[];[];nan;False;False;storage return:out1_superheater:in1;16.828973593811586;kg / s;False;16.828973593811586;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;105.20522419881875;kJ / kg;False;105.20522419881875;False;nan;nan;nan;False;25.0;C;False;25.0;True;nan;nan;nan;False;-inf;-;False;nan;False;nan;nan;nan;False;0.016875762343960463;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
